Storage System, MDisk, Time, Interval (s), Pool, RAID Level, Class, Back-end Read I/O Rate (ops/s), Back-end Write I/O Rate (ops/s), Total Back-end I/O Rate (ops/s), Back-end Read Data Rate (MiB/s), Back-end Write Data Rate (MiB/s), Total Back-end Data Rate (MiB/s), Back-end Read Response Time (ms/op), Back-end Write Response Time (ms/op), Overall Back-end Response Time (ms/op), Back-end Read Queue Time (ms/op), Back-end Write Queue Time (ms/op), Overall Back-end Queue Time (ms/op), Back-end Read Transfer Size (KiB/op), Back-end Write Transfer Size (KiB/op), Overall Back-end Transfer Size (KiB/op), Peak Back-end Write Response Time (ms), Peak Back-end Read Response Time (ms), Peak Back-end Read Queue Time (ms), Peak Back-end Write Queue Time (ms), Destage Target I/O (cnt), Destage In-flight I/O (cnt) 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier1_0000, 5/2/18 12:14 PM, 900, Tier1_CS2DS8870C_A_TP, raid5, Unknown, 184.6, 115.02, 299.62, 4.35, 2.23, 6.57, 0.427, 0.29, 0.374, 0.023, 0.023, 0.023, 24.124, 19.811, 22.468, 34.359, 34.274, 0.06, 1.706, 15.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier1_0100, 5/2/18 12:14 PM, 900, Tier1_CS2DS8870C_A_TP, raid5, Unknown, 184.23, 143.29, 327.52, 4.1, 2.2, 6.31, 0.387, 0.275, 0.338, 0.025, 0.021, 0.023, 22.797, 15.751, 19.714, 10.548, 26.335, 0.187, 0.77, 15.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier1_0001, 5/2/18 12:14 PM, 900, Tier1_CS2DS8870C_A_TP, raid5, Unknown, 141.08, 97.44, 238.52, 2.22, 2.33, 4.55, 0.462, 0.31, 0.4, 0.025, 0.024, 0.024, 16.101, 24.457, 19.515, 21.444, 58.854, 0.039, 0.956, 16.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier1_0002, 5/2/18 12:14 PM, 900, Tier1_CS2DS8870C_A_TP, raid5, Unknown, 227.67, 98.27, 325.95, 6.62, 1.87, 8.49, 0.421, 0.285, 0.38, 0.018, 0.024, 0.02, 29.782, 19.442, 26.665, 19.373, 70.205, 0.089, 0.049, 15.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier1_0101, 5/2/18 12:14 PM, 900, Tier1_CS2DS8870C_A_TP, raid5, Unknown, 199.95, 109.37, 309.32, 5.78, 1.61, 7.39, 0.503, 0.268, 0.42, 0.022, 0.027, 0.024, 29.613, 15.04, 24.46, 18.736, 43.6, 0.055, 0.428, 16.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier1_0102, 5/2/18 12:14 PM, 900, Tier1_CS2DS8870C_A_TP, raid5, Unknown, 85.59, 68.32, 153.91, 0.93, 0.96, 1.89, 0.596, 0.264, 0.449, 0.023, 0.024, 0.023, 11.136, 14.316, 12.548, 10.757, 61.569, 0.065, 0.032, 13.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_0200, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 538.06, 85.23, 623.3, 11.62, 4.36, 15.98, 1.948, 0.399, 1.736, 0.032, 0.026, 0.032, 22.116, 52.419, 26.26, 310.497, 511.569, 0.065, 0.095, 16.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_0201, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 645.0, 68.51, 713.51, 15.16, 2.93, 18.09, 1.623, 0.366, 1.502, 0.025, 0.027, 0.026, 24.065, 43.859, 25.965, 14.892, 300.387, 0.134, 0.044, 16.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_0400, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 467.87, 67.69, 535.57, 10.4, 2.21, 12.61, 2.05, 0.344, 1.834, 0.031, 0.022, 0.03, 22.755, 33.469, 24.109, 62.131, 157.349, 0.043, 0.239, 14.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_0401, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 294.75, 79.49, 374.24, 5.59, 3.3, 8.89, 2.038, 0.365, 1.682, 0.047, 0.025, 0.043, 19.43, 42.446, 24.319, 21.654, 176.731, 0.04, 1.555, 16.0, 2.0 
