Storage System, MDisk, Time, Interval (s), Pool, RAID Level, Class, Back-end Read I/O Rate (ops/s), Back-end Write I/O Rate (ops/s), Total Back-end I/O Rate (ops/s), Back-end Read Data Rate (MiB/s), Back-end Write Data Rate (MiB/s), Total Back-end Data Rate (MiB/s), Back-end Read Response Time (ms/op), Back-end Write Response Time (ms/op), Overall Back-end Response Time (ms/op), Back-end Read Queue Time (ms/op), Back-end Write Queue Time (ms/op), Overall Back-end Queue Time (ms/op), Back-end Read Transfer Size (KiB/op), Back-end Write Transfer Size (KiB/op), Overall Back-end Transfer Size (KiB/op), Peak Back-end Write Response Time (ms), Peak Back-end Read Response Time (ms), Peak Back-end Read Queue Time (ms), Peak Back-end Write Queue Time (ms), Destage Target I/O (cnt), Destage In-flight I/O (cnt) 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_C_0600, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_C_TP, Unknown, Unknown, 229.78, 48.25, 278.03, 2.14, 2.14, 4.28, 1.254, 0.372, 1.101, 0.364, 0.023, 0.305, 9.537, 45.482, 15.774, 5.317, 184.993, 12.763, 14.526, 13.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_C_0601, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_C_TP, Unknown, Unknown, 292.97, 48.53, 341.5, 3.25, 2.85, 6.1, 0.821, 0.433, 0.766, 0.015, 0.02, 0.015, 11.351, 60.095, 18.278, 9.613, 258.685, 0.051, 0.051, 16.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier1_A_0003, 5/2/18 12:14 PM, 900, Tier1_CS2DS8870C_A_TP, raid5, Unknown, 96.79, 53.77, 150.56, 1.19, 0.82, 2.01, 0.809, 0.28, 0.62, 0.023, 0.025, 0.024, 12.562, 15.709, 13.686, 5.723, 173.196, 0.031, 0.448, 14.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier1_A_0004, 5/2/18 12:14 PM, 900, Tier1_CS2DS8870C_A_TP, raid5, Unknown, 389.25, 91.18, 480.43, 5.15, 1.1, 6.24, 0.316, 0.275, 0.309, 0.019, 0.028, 0.021, 13.537, 12.339, 13.31, 57.105, 81.864, 0.023, 0.363, 15.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier1_A_0005, 5/2/18 12:14 PM, 900, Tier1_CS2DS8870C_A_TP, raid5, Unknown, 112.64, 70.02, 182.66, 1.45, 1.38, 2.83, 0.688, 0.291, 0.536, 0.137, 0.023, 0.093, 13.143, 20.216, 15.854, 15.072, 68.334, 0.027, 0.583, 16.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier1_A_0103, 5/2/18 12:14 PM, 900, Tier1_CS2DS8870C_A_TP, raid5, Unknown, 138.17, 76.52, 214.69, 2.24, 1.13, 3.37, 0.728, 0.279, 0.568, 0.087, 0.025, 0.065, 16.607, 15.062, 16.057, 18.461, 57.372, 0.078, 0.071, 14.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier1_A_0104, 5/2/18 12:14 PM, 900, Tier1_CS2DS8870C_A_TP, raid5, Unknown, 320.04, 73.22, 393.26, 4.49, 0.95, 5.44, 0.455, 0.267, 0.42, 0.018, 0.022, 0.019, 14.358, 13.341, 14.168, 10.749, 64.431, 0.077, 0.569, 15.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier1_A_0105, 5/2/18 12:14 PM, 900, Tier1_CS2DS8870C_A_TP, raid5, Unknown, 113.97, 78.92, 192.89, 1.34, 1.02, 2.36, 0.677, 0.269, 0.51, 0.025, 0.023, 0.024, 12.068, 13.243, 12.549, 3.893, 62.334, 0.119, 0.029, 18.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_0202, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 570.44, 68.28, 638.72, 14.84, 2.41, 17.25, 1.792, 0.354, 1.638, 0.16, 0.024, 0.146, 26.641, 36.134, 27.656, 44.434, 254.969, 0.03, 1.346, 16.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_0203, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 742.75, 41.65, 784.39, 18.24, 0.87, 19.11, 1.681, 0.305, 1.608, 0.021, 0.025, 0.022, 25.148, 21.4, 24.949, 8.833, 263.429, 0.011, 1.326, 15.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_0204, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 389.1, 52.45, 441.55, 9.17, 1.43, 10.6, 1.925, 0.324, 1.735, 0.049, 0.026, 0.047, 24.133, 27.857, 24.575, 13.535, 293.079, 0.035, 0.557, 14.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_0205, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 567.97, 38.08, 606.05, 10.28, 1.06, 11.34, 1.912, 0.336, 1.813, 0.063, 0.028, 0.061, 18.534, 28.504, 19.16, 9.386, 392.666, 0.134, 1.857, 16.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_0206, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 326.62, 48.49, 375.12, 7.87, 1.0, 8.87, 2.048, 0.312, 1.823, 0.059, 0.026, 0.055, 24.686, 21.131, 24.227, 33.12, 432.743, 0.034, 2.449, 17.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_0300, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 504.08, 80.74, 584.83, 12.33, 3.51, 15.84, 1.82, 0.367, 1.62, 0.026, 0.025, 0.026, 25.044, 44.504, 27.731, 21.738, 269.745, 0.043, 0.646, 17.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_0301, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 459.62, 57.0, 516.61, 11.53, 2.04, 13.57, 1.627, 0.367, 1.488, 0.051, 0.022, 0.048, 25.693, 36.666, 26.904, 33.981, 146.982, 0.035, 0.099, 16.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_0302, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 512.6, 66.18, 578.78, 12.07, 2.76, 14.83, 1.393, 0.37, 1.276, 0.024, 0.023, 0.024, 24.103, 42.782, 26.239, 57.759, 125.882, 8.101, 0.305, 14.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_0303, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 667.31, 65.11, 732.42, 17.08, 3.32, 20.41, 1.635, 0.394, 1.525, 0.025, 0.022, 0.025, 26.217, 52.223, 28.529, 18.401, 115.635, 0.023, 0.214, 15.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_0304, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 565.55, 36.88, 602.43, 13.49, 1.45, 14.94, 1.813, 0.371, 1.724, 0.083, 0.028, 0.079, 24.427, 40.268, 25.397, 18.595, 124.936, 0.015, 0.126, 15.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_0305, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 497.89, 98.51, 596.4, 12.05, 5.93, 17.98, 1.565, 0.425, 1.377, 0.036, 0.03, 0.035, 24.785, 61.642, 30.873, 42.584, 222.408, 0.032, 1.652, 16.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_0306, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 622.23, 70.76, 693.0, 14.7, 3.55, 18.25, 1.403, 0.403, 1.301, 0.088, 0.026, 0.081, 24.19, 51.412, 26.97, 27.971, 118.485, 0.024, 20.781, 15.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_0207, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 510.2, 111.88, 622.09, 10.8, 3.46, 14.26, 1.692, 0.338, 1.448, 0.161, 0.029, 0.138, 21.679, 31.622, 23.467, 18.951, 313.677, 0.026, 2.897, 15.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_0208, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 555.34, 42.05, 597.4, 15.13, 1.53, 16.66, 1.672, 0.338, 1.578, 0.046, 0.025, 0.044, 27.895, 37.248, 28.554, 5.635, 357.425, 0.101, 1.058, 16.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_0209, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 826.83, 163.45, 990.27, 15.7, 6.29, 21.99, 1.698, 0.371, 1.479, 0.101, 0.021, 0.088, 19.443, 39.431, 22.742, 189.631, 369.608, 0.021, 0.485, 17.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_020a, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 486.38, 94.35, 580.73, 10.78, 2.85, 13.63, 1.783, 0.333, 1.548, 0.077, 0.022, 0.068, 22.698, 30.927, 24.035, 68.145, 339.927, 0.084, 0.538, 15.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_020b, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 441.85, 75.88, 517.73, 11.78, 2.47, 14.25, 1.92, 0.343, 1.689, 0.021, 0.021, 0.021, 27.293, 33.343, 28.18, 86.355, 138.855, 0.051, 0.082, 16.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_0307, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 501.39, 59.81, 561.2, 10.81, 3.62, 14.44, 1.751, 0.423, 1.609, 0.052, 0.027, 0.049, 22.085, 62.043, 26.343, 8.691, 162.159, 0.041, 2.239, 15.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_0308, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 462.93, 61.42, 524.35, 11.14, 1.96, 13.09, 1.601, 0.336, 1.453, 0.075, 0.027, 0.069, 24.631, 32.628, 25.568, 21.664, 212.382, 0.03, 1.292, 14.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_0309, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 469.85, 78.08, 547.93, 11.27, 2.42, 13.69, 1.689, 0.335, 1.496, 0.085, 0.025, 0.076, 24.56, 31.788, 25.59, 7.285, 175.255, 0.032, 0.39, 15.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_030a, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 552.72, 53.07, 605.79, 13.22, 1.89, 15.11, 1.577, 0.356, 1.47, 0.052, 0.028, 0.05, 24.49, 36.462, 25.538, 7.632, 127.921, 1.653, 1.809, 13.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_A_030b, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_A_TP, Unknown, Unknown, 564.9, 26.23, 591.13, 14.01, 0.77, 14.77, 1.569, 0.327, 1.514, 0.085, 0.027, 0.082, 25.388, 30.026, 25.594, 11.965, 270.458, 0.173, 0.326, 15.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_0402, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 303.1, 132.84, 435.95, 5.58, 5.03, 10.6, 1.612, 0.344, 1.225, 0.036, 0.021, 0.032, 18.841, 38.735, 24.903, 4.233, 83.823, 0.018, 1.265, 16.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_0403, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 541.74, 59.43, 601.17, 15.55, 1.98, 17.52, 1.58, 0.327, 1.456, 0.029, 0.026, 0.029, 29.385, 34.082, 29.849, 11.713, 228.133, 0.025, 1.606, 16.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_0404, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 357.07, 78.89, 435.96, 8.34, 2.14, 10.48, 1.697, 0.328, 1.449, 0.077, 0.027, 0.068, 23.905, 27.798, 24.61, 11.465, 94.99, 0.022, 1.448, 15.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_0405, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 382.2, 39.39, 421.59, 8.77, 1.51, 10.28, 1.935, 0.35, 1.787, 0.038, 0.024, 0.037, 23.491, 39.282, 24.966, 10.419, 169.115, 0.033, 0.99, 18.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_0406, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 326.33, 43.99, 370.32, 6.36, 2.17, 8.52, 1.972, 0.371, 1.782, 0.358, 0.026, 0.318, 19.945, 50.468, 23.571, 33.451, 202.427, 0.018, 0.368, 15.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_0500, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 392.79, 41.63, 434.43, 11.56, 1.75, 13.31, 2.037, 0.348, 1.876, 1.845, 0.027, 1.671, 30.148, 42.981, 31.378, 4.717, 298.466, 0.042, 0.551, 14.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_0501, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 588.93, 47.72, 636.64, 16.8, 1.88, 18.68, 1.643, 0.359, 1.547, 0.031, 0.028, 0.03, 29.216, 40.361, 30.051, 25.167, 126.108, 0.015, 2.509, 17.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_0502, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 554.76, 60.11, 614.87, 13.69, 2.35, 16.04, 1.569, 0.351, 1.45, 0.029, 0.025, 0.029, 25.272, 40.004, 26.712, 11.716, 197.189, 0.024, 1.229, 16.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_0503, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 400.83, 31.08, 431.91, 9.84, 1.64, 11.48, 1.878, 0.38, 1.77, 0.095, 0.022, 0.089, 25.142, 53.975, 27.217, 12.001, 135.95, 0.049, 1.025, 16.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_0504, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 372.21, 68.84, 441.05, 7.07, 4.2, 11.27, 1.502, 0.409, 1.331, 0.018, 0.02, 0.018, 19.44, 62.526, 26.165, 10.281, 143.667, 0.09, 0.993, 15.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_0505, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 491.23, 28.28, 519.51, 11.81, 1.44, 13.24, 1.323, 0.369, 1.271, 0.025, 0.023, 0.025, 24.618, 51.964, 26.107, 3.47, 106.369, 0.036, 0.867, 14.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_0506, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 396.96, 50.85, 447.82, 9.2, 2.04, 11.24, 1.73, 0.358, 1.574, 0.037, 0.022, 0.036, 23.734, 41.146, 25.711, 5.101, 118.599, 0.027, 0.854, 15.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_0407, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 569.96, 33.52, 603.48, 13.86, 1.35, 15.21, 1.831, 0.342, 1.749, 0.074, 0.027, 0.072, 24.91, 41.236, 25.817, 3.888, 113.856, 0.064, 0.934, 14.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_0408, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 394.03, 41.23, 435.25, 10.42, 1.62, 12.05, 1.819, 0.344, 1.68, 0.03, 0.027, 0.029, 27.084, 40.353, 28.341, 20.492, 95.721, 0.032, 0.799, 12.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_0409, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 526.21, 98.85, 625.06, 9.46, 4.54, 14.0, 1.578, 0.366, 1.386, 0.079, 0.029, 0.071, 18.404, 47.079, 22.939, 83.709, 87.575, 0.137, 3.14, 14.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_040a, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 455.03, 72.55, 527.58, 9.9, 2.13, 12.02, 1.965, 0.337, 1.741, 0.207, 0.027, 0.182, 22.27, 29.999, 23.333, 2.53, 315.407, 0.027, 2.296, 14.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_040b, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 470.14, 44.35, 514.49, 10.44, 4.1, 14.54, 1.827, 0.498, 1.712, 1.007, 0.021, 0.922, 22.746, 94.699, 28.948, 2.913, 110.346, 0.067, 0.984, 15.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_0507, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 467.84, 124.09, 591.93, 5.92, 4.42, 10.35, 1.245, 0.347, 1.057, 0.032, 0.019, 0.029, 12.967, 36.514, 17.903, 9.28, 220.917, 0.014, 0.047, 14.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_0508, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 443.84, 30.36, 474.2, 10.92, 1.56, 12.48, 2.035, 0.369, 1.928, 1.254, 0.021, 1.175, 25.191, 52.502, 26.94, 7.453, 120.376, 0.303, 0.83, 17.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_0509, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 337.29, 71.79, 409.08, 7.56, 2.32, 9.88, 1.675, 0.324, 1.438, 0.021, 0.021, 0.021, 22.943, 33.071, 24.721, 96.723, 89.239, 0.049, 1.311, 15.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870C_Tier15_B_050a, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870C_B_TP, Unknown, Unknown, 331.29, 73.54, 404.83, 8.24, 2.56, 10.79, 1.743, 0.349, 1.49, 0.023, 0.026, 0.023, 25.457, 35.625, 27.304, 4.844, 128.04, 0.037, 1.068, 14.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870E_0000, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870E_A_TP, Unknown, Unknown, 78.26, 71.89, 150.15, 2.52, 3.62, 6.14, 0.863, 0.354, 0.619, 0.018, 0.021, 0.02, 32.932, 51.543, 41.843, 6.641, 94.238, 0.049, 0.613, 16.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870E_0001, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870E_A_TP, Unknown, Unknown, 86.42, 65.62, 152.04, 2.31, 5.47, 7.78, 0.901, 0.433, 0.699, 0.037, 0.022, 0.03, 27.404, 85.283, 52.385, 4.946, 211.077, 0.016, 0.13, 14.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870E_0002, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870E_A_TP, Unknown, Unknown, 99.04, 55.2, 154.24, 3.31, 3.81, 7.12, 1.027, 0.394, 0.801, 0.074, 0.022, 0.055, 34.226, 70.756, 47.299, 6.72, 82.089, 0.197, 0.453, 17.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870E_0003, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870E_A_TP, Unknown, Unknown, 62.16, 46.82, 108.98, 3.11, 2.44, 5.55, 0.976, 0.335, 0.701, 0.017, 0.018, 0.017, 51.309, 53.264, 52.149, 52.724, 82.175, 0.075, 0.038, 16.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870E_0004, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870E_A_TP, Unknown, Unknown, 78.87, 48.02, 126.89, 2.82, 2.27, 5.09, 1.099, 0.315, 0.803, 0.019, 0.018, 0.019, 36.597, 48.336, 41.04, 3.903, 78.065, 0.061, 0.092, 16.0, 1.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870E_0005, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870E_A_TP, Unknown, Unknown, 63.74, 54.31, 118.05, 2.25, 2.85, 5.1, 1.264, 0.343, 0.84, 0.444, 0.019, 0.248, 36.156, 53.815, 44.281, 2.085, 132.114, 19.189, 1.171, 14.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870E_0006, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870E_A_TP, Unknown, Unknown, 130.27, 45.57, 175.84, 2.85, 3.57, 6.42, 0.923, 0.42, 0.792, 0.019, 0.022, 0.02, 22.424, 80.206, 37.4, 9.835, 427.345, 1.853, 0.179, 18.0, 2.0 
SVC-2145-CS2SVC1-IBM, CS2DS8870E_0007, 5/2/18 12:14 PM, 900, Tier15_CS2DS8870E_A_TP, Unknown, Unknown, 128.83, 76.61, 205.45, 3.85, 2.67, 6.52, 1.175, 0.318, 0.855, 0.02, 0.022, 0.021, 30.583, 35.717, 32.497, 7.226, 289.591, 0.081, 0.294, 18.0, 1.0 
